category,review_score,total_orders,total_customers
"Garden Tools",3,274,274
"Health Beauty",3,663,663
"Home Appliances",3,63,63
"Home Appliances 2",3,17,17
"Home Comfort 2",3,2,2
"Home Confort",3,51,51
"Home Construction",3,38,38
Housewares,3,488,488
"Industry Commerce And Business",3,20,20
"Kitchen Dining Laundry Garden Furniture",3,26,26
"Luggage Accessories",3,69,69
"Market Place",3,30,30
Music,3,4,4
"Musical Instruments",3,39,39
"Office Furniture",3,181,181
"Party Supplies",3,4,4
Perfumery,3,209,209
"Pet Shop",3,120,120
"Signaling And Security",3,16,16
"Small Appliances",3,34,34
"Small Appliances Home Oven And Coffee",3,4,4
"Sports Leisure",3,549,549
Stationery,3,147,147
"Tablets Printing Image",3,5,5
Telephony,3,408,408
Toys,3,286,286
Unknown,3,88,88
"Watches Gifts",3,473,473
"Agro Industry And Commerce",2,6,6
"Air Conditioning",2,7,7
Art,2,7,7
Audio,2,19,19
Auto,2,119,119
Baby,2,93,93
"Bed Bath Table",2,375,375
"Books General Interest",2,5,5
"Books Imported",2,1,1
"Books Technical",2,7,7
"Christmas Supplies",2,2,2
"Cine Photo",2,2,2
Computers,2,2,2
"Computers Accessories",2,214,214
"Consoles Games",2,28,28
"Construction Tools Construction",2,18,18
"Construction Tools Lights",2,8,8
"Construction Tools Safety",2,3,3
"Cool Stuff",2,105,105
"Costruction Tools Garden",2,5,5
Drinks,2,3,3
"Dvds Blu Ray",2,1,1
Electronics,2,81,81
"Fashio Female Clothing",2,3,3
"Fashion Bags Accessories",2,45,45
"Fashion Male Clothing",2,3,3
"Fashion Shoes",2,9,9
"Fashion Sport",2,1,1
"Fashion Underwear Beach",2,7,7
"Fixed Telephony",2,6,6
Food,2,10,10
"Food Drink",2,3,3
"Furniture Bedroom",2,2,2
"Furniture Decor",2,240,240
"Furniture Living Room",2,19,19
"Furniture Mattress And Upholstery",2,1,1
"Garden Tools",2,101,101
"Health Beauty",2,209,209
"Home Appliances",2,15,15
"Home Appliances 2",2,9,9
"Home Comfort 2",2,1,1
"Home Confort",2,16,16
"Home Construction",2,30,30
Housewares,2,177,177
"Industry Commerce And Business",2,5,5
"Kitchen Dining Laundry Garden Furniture",2,4,4
"Luggage Accessories",2,24,24
"Market Place",2,7,7
"Musical Instruments",2,20,20
"Office Furniture",2,60,60
"Party Supplies",2,2,2
Perfumery,2,88,88
"Pet Shop",2,45,45
"Signaling And Security",2,2,2
"Small Appliances",2,17,17
"Small Appliances Home Oven And Coffee",2,1,1
"Sports Leisure",2,184,184
Stationery,2,63,63
"Tablets Printing Image",2,6,6
Telephony,2,150,150
Toys,2,92,92
Unknown,2,48,48
"Watches Gifts",2,182,182
"Agro Industry And Commerce",1,16,16
"Air Conditioning",1,27,27
Art,1,20,20
"Arts And Craftmanship",1,3,3
Audio,1,57,57
Auto,1,375,375
Baby,1,305,305
"Bed Bath Table",1,1111,1111
"Books General Interest",1,26,26
"Books Imported",1,4,4
"Books Technical",1,17,17
"Christmas Supplies",1,12,12
"Cine Photo",1,5,5
Computers,1,18,18
"Computers Accessories",1,739,739
"Consoles Games",1,84,84
"Construction Tools Construction",1,79,79
"Construction Tools Lights",1,17,17
"Construction Tools Safety",1,24,24
"Cool Stuff",1,295,295
"Costruction Tools Garden",1,18,18
"Costruction Tools Tools",1,8,8
"Diapers And Hygiene",1,3,3
Drinks,1,26,26
"Dvds Blu Ray",1,7,7
Electronics,1,249,249
"Fashio Female Clothing",1,3,3
"Fashion Bags Accessories",1,140,140
"Fashion Male Clothing",1,21,21
"Fashion Shoes",1,17,17
"Fashion Sport",1,1,1
"Fashion Underwear Beach",1,12,12
"Fixed Telephony",1,29,29
Flowers,1,2,2
Food,1,34,34
"Food Drink",1,6,6
"Furniture Bedroom",1,9,9
"Furniture Decor",1,732,732
"Furniture Living Room",1,39,39
"Furniture Mattress And Upholstery",1,6,6
"Garden Tools",1,321,321
"Health Beauty",1,778,778
"Home Appliances",1,67,67
"Home Appliances 2",1,19,19
"Home Comfort 2",1,4,4
"Home Confort",1,58,58
"Home Construction",1,53,53
Housewares,1,498,498
"Industry Commerce And Business",1,19,19
"Kitchen Dining Laundry Garden Furniture",1,23,23
"La Cuisine",1,2,2
"Luggage Accessories",1,59,59
"Market Place",1,26,26
Music,1,4,4
"Musical Instruments",1,51,51
"Office Furniture",1,215,215
"Party Supplies",1,4,4
Perfumery,1,275,275
"Pet Shop",1,134,134
"Security And Services",1,1,1
"Signaling And Security",1,14,14
"Small Appliances",1,53,53
"Small Appliances Home Oven And Coffee",1,4,4
"Sports Leisure",1,669,669
Stationery,1,164,164
"Tablets Printing Image",1,4,4
Telephony,1,425,425
Toys,1,338,338
Unknown,1,196,196
"Watches Gifts",1,566,566
